ID,distance,latitude,longitude,geometry,id_cukrarna,distance_mhd,stop_name_mhd,district,admin_district,street,house_num
68,0.4139930753986034,49.9718,14.3944,POINT (14.3944 49.9718),89,0.1283862679569054,Most Závodu míru,Zbraslav,Praha 16,Žitavského,513
69,0.7894489751583882,49.9718,14.3994,POINT (14.3994 49.9718),94,0.0701979384314325,Nádraží Zbraslav,Zbraslav,Praha 16,Závist,1161
74,3.410871098499402,49.9718,14.4244,POINT (14.4244 49.9718),94,0.8258912089485781,Točná,Praha 12,Praha 12,Hospodářská,164
75,3.9603477175391584,49.9718,14.4294,POINT (14.4294 49.9718),94,0.2835059294240414,Točná,Praha 12,Praha 12,Polovnická,276/10
76,3.905979475268615,49.9718,14.4344,POINT (14.4344 49.9718),74,0.3077416692918016,Točná,Praha 12,Praha 12,Branišovská,233/43
79,2.626870283936824,49.9768,14.3344,POINT (14.3344 49.9768),589,0.2173922225186705,Nýrská,Praha 16,Praha 16,Nýrská,ev. č. 2283
81,1.5883051171266185,49.9768,14.3444,POINT (14.3444 49.9768),589,0.0460294877090498,Dehtínská,Praha 16,Praha 16,Na Viničkách,1224/50
82,1.1215707616200004,49.9768,14.3494,POINT (14.3494 49.9768),589,0.1434404452244112,Vojetická,Praha 16,Praha 16,Karlická,1636/60
83,0.780499072101158,49.9768,14.3544,POINT (14.3544 49.9768),589,0.3903239512012749,Sídliště Radotín,Praha 16,Praha 16,Na Rymáni,316/13
84,0.6799558026865248,49.9768,14.3594,POINT (14.3594 49.9768),278,0.5082389795408677,Škola Radotín,Praha 16,Praha 16,K lázním,ev. č. 2089
90,0.4062085920987636,49.9768,14.3894,POINT (14.3894 49.9768),262,0.4609736801021207,Elišky Přemyslovny,Zbraslav,Praha 16,Bartoňova,1192
91,0.0560796443351853,49.9768,14.3944,POINT (14.3944 49.9768),94,0.1166708982239564,Zbraslavské náměstí,Zbraslav,Praha 16,Zbraslavské náměstí,1504
92,0.5976264048288803,49.9768,14.3994,POINT (14.3994 49.9768),94,0.3101779997974643,Závist,Zbraslav,Praha 16,Závist,1170
93,1.1520502215566897,49.9768,14.4044,POINT (14.4044 49.9768),94,0.2554845603133003,Závist,Zbraslav,Praha 16,Závist,ev. č. 139
108,0.8771560924319104,49.9818,14.3494,POINT (14.3494 49.9818),589,0.1827502965104218,Zderazská,Praha 16,Praha 16,Otínská,512/9
109,0.347362402571607,49.9818,14.3544,POINT (14.3544 49.9818),589,0.1816521416486222,Otínská,Praha 16,Praha 16,Sídliště,1072/12
110,0.2737702429075997,49.9818,14.3594,POINT (14.3594 49.9818),132,0.1357545996427807,Škola Radotín,Praha 16,Praha 16,Ke Zděři,372/5
111,0.2788737310983484,49.9818,14.3644,POINT (14.3644 49.9818),278,0.3402652450659895,Nádraží Radotín,Praha 16,Praha 16,Výpadová,582/2
118,0.8409131674070579,49.9818,14.3994,POINT (14.3994 49.9818),94,0.5514830367250898,Nad Závistí,Praha 12,Praha 12,Trnitá,ev. č. 258/7
120,1.8064633241774768,49.9818,14.4094,POINT (14.4094 49.9818),94,0.5943649449586111,Nad Závistí,Praha 12,Praha 12,Na Jitřence,ev. č. 229
136,0.4981891968825701,49.9868,14.3544,POINT (14.3544 49.9868),589,0.2684151555620419,U Kestřánků,Praha 16,Praha 16,Hadravská,ev. č. 2144
137,0.2931207577465459,49.9868,14.3594,POINT (14.3594 49.9868),132,0.2873907996709984,U Kestřánků,Praha 16,Praha 16,Na betonce,1388/22
138,0.2438256903013858,49.9868,14.3644,POINT (14.3644 49.9868),41,0.1092770437666422,Praha-Radotín,Praha 16,Praha 16,Prvomájová,110/34
139,0.5122890378497333,49.9868,14.3694,POINT (14.3694 49.9868),41,0.225376326528286,U Jankovky,Praha 16,Praha 16,Věštínská,1516/17
141,1.5863695157185418,49.9868,14.3794,POINT (14.3794 49.9868),41,0.8423828506919903,Přeštínská,Praha 16,Praha 16,Šárovo kolo,ev. č. 2295
146,1.6257997981698742,49.9868,14.4044,POINT (14.4044 49.9868),94,0.4612532599004898,Praha-Komořany,Praha 12,Praha 12,Na Šabatce,2218/19a
147,1.9203468423696683,49.9868,14.4094,POINT (14.4094 49.9868),111,0.2727194634612735,Na Šabatce,Praha 12,Praha 12,Pod lesem,2180/8
154,2.240430250847293,49.9868,14.4444,POINT (14.4444 49.9868),510,0.120428075856173,Cholupice,Praha 12,Praha 12,Hrazanská,128
155,1.7200272157036662,49.9868,14.4494,POINT (14.4494 49.9868),510,0.1914427194436949,Cholupické náměstí,Praha 12,Praha 12,Ke Kálku,103
156,1.2302477541583006,49.9868,14.4544,POINT (14.4544 49.9868),510,0.6327547359189916,Cholupické náměstí,Praha 12,Praha 12,U nové louky,67
157,0.8273907483537314,49.9868,14.4594,POINT (14.4594 49.9868),510,0.3429707486832503,Cholupický hřbitov,Praha 12,Praha 12,U Vrtilky,120
