distance,latitude,longitude,geometry,id_cukrarna,Praha
3.9603477175391584,49.9718,14.4294,POINT (14.4294 49.9718),94,True
3.9059794752686146,49.9718,14.4344,POINT (14.4344 49.9718),74,True
3.5690325743698015,49.9718,14.4394,POINT (14.4394 49.9718),510,True
2.245311736657631,49.9718,14.4594,POINT (14.4594 49.9718),643,True
2.6268702839368236,49.9768,14.3344,POINT (14.3344 49.9768),589,True
2.0984649906207316,49.9768,14.3394,POINT (14.3394 49.9768),589,True
1.5883051171266183,49.9768,14.3444,POINT (14.3444 49.9768),589,True
1.1215707616200004,49.9768,14.3494,POINT (14.3494 49.9768),589,True
0.780499072101158,49.9768,14.3544,POINT (14.3544 49.9768),589,True
0.6799558026865248,49.9768,14.3594,POINT (14.3594 49.9768),278,True
0.6751567398665166,49.9768,14.3644,POINT (14.3644 49.9768),278,True
0.9978343371326196,49.9768,14.3694,POINT (14.3694 49.9768),41,True
1.347112636497314,49.9768,14.3744,POINT (14.3744 49.9768),41,True
1.2059191082258813,49.9768,14.3794,POINT (14.3794 49.9768),271,True
0.959508103235692,49.9768,14.3844,POINT (14.3844 49.9768),262,True
0.40620859209876364,49.9768,14.3894,POINT (14.3894 49.9768),262,True
0.05607964433518534,49.9768,14.3944,POINT (14.3944 49.9768),94,True
0.5976264048288803,49.9768,14.3994,POINT (14.3994 49.9768),94,True
1.1520502215566895,49.9768,14.4044,POINT (14.4044 49.9768),94,True
1.7068485891339222,49.9768,14.4094,POINT (14.4094 49.9768),94,True
2.2617458963085912,49.9768,14.4144,POINT (14.4144 49.9768),94,True
2.8166836692657067,49.9768,14.4194,POINT (14.4194 49.9768),94,True
3.3057984521009107,49.9768,14.4244,POINT (14.4244 49.9768),342,True
3.4507366121109952,49.9768,14.4294,POINT (14.4294 49.9768),74,True
3.3531615968400974,49.9768,14.4344,POINT (14.4344 49.9768),74,True
3.2313283557949353,49.9768,14.4394,POINT (14.4394 49.9768),510,True
2.786467092361553,49.9768,14.4444,POINT (14.4444 49.9768),510,True
2.388171846970709,49.9768,14.4494,POINT (14.4494 49.9768),510,True
2.0635844263111025,49.9768,14.4544,POINT (14.4544 49.9768),510,True
1.7990395871559879,49.9768,14.4594,POINT (14.4594 49.9768),643,True
1.4908937878885091,49.9768,14.4644,POINT (14.4644 49.9768),643,True
1.978645282517919,49.9818,14.3394,POINT (14.3394 49.9818),589,True
1.4262520752868868,49.9818,14.3444,POINT (14.3444 49.9818),589,True
0.8771560924319104,49.9818,14.3494,POINT (14.3494 49.9818),589,True
0.34736240257160705,49.9818,14.3544,POINT (14.3544 49.9818),589,True
0.27377024290759977,49.9818,14.3594,POINT (14.3594 49.9818),132,True
0.27887373109834845,49.9818,14.3644,POINT (14.3644 49.9818),278,True
0.5665966037055241,49.9818,14.3694,POINT (14.3694 49.9818),41,True
1.0677409809408298,49.9818,14.3744,POINT (14.3744 49.9818),41,True
1.6047304737652082,49.9818,14.3794,POINT (14.3794 49.9818),41,True
1.1326312947136807,49.9818,14.3844,POINT (14.3844 49.9818),262,True
0.7260876461452108,49.9818,14.3894,POINT (14.3894 49.9818),262,True
0.5942411647459629,49.9818,14.3944,POINT (14.3944 49.9818),94,True
0.8409131674070579,49.9818,14.3994,POINT (14.3994 49.9818),94,True
1.295066542058243,49.9818,14.4044,POINT (14.4044 49.9818),94,True
1.8064633241774768,49.9818,14.4094,POINT (14.4094 49.9818),94,True
2.3378349246340364,49.9818,14.4144,POINT (14.4144 49.9818),94,True
2.6472609196131542,49.9818,14.4194,POINT (14.4194 49.9818),342,True
2.776345393799398,49.9818,14.4244,POINT (14.4244 49.9818),342,True
2.917301869786758,49.9818,14.4294,POINT (14.4294 49.9818),74,True
2.80120683417367,49.9818,14.4344,POINT (14.4344 49.9818),74,True
2.792654517870289,49.9818,14.4394,POINT (14.4394 49.9818),74,True
2.4665640642120854,49.9818,14.4444,POINT (14.4444 49.9818),510,True
2.005717875652526,49.9818,14.4494,POINT (14.4494 49.9818),510,True
1.6055902685810963,49.9818,14.4544,POINT (14.4544 49.9818),510,True
1.3224923532527977,49.9818,14.4594,POINT (14.4594 49.9818),510,True
1.0168249250210457,49.9818,14.4644,POINT (14.4644 49.9818),643,True
0.7976238328648021,49.9818,14.4694,POINT (14.4694 49.9818),643,True
2.0106140831100823,49.9868,14.3394,POINT (14.3394 49.9868),589,True
1.4702812042022206,49.9868,14.3444,POINT (14.3444 49.9868),589,True
0.9470663375184439,49.9868,14.3494,POINT (14.3494 49.9868),589,True
0.4981891968825701,49.9868,14.3544,POINT (14.3544 49.9868),589,True
0.29312075774654595,49.9868,14.3594,POINT (14.3594 49.9868),132,True
0.2438256903013858,49.9868,14.3644,POINT (14.3644 49.9868),41,True
0.5122890378497333,49.9868,14.3694,POINT (14.3694 49.9868),41,True
1.0399418971033219,49.9868,14.3744,POINT (14.3744 49.9868),41,True
1.5863695157185418,49.9868,14.3794,POINT (14.3794 49.9868),41,True
1.5036959464450423,49.9868,14.3844,POINT (14.3844 49.9868),262,True
1.2269682634343713,49.9868,14.3894,POINT (14.3894 49.9868),262,True
1.1485426405881267,49.9868,14.3944,POINT (14.3944 49.9868),94,True
1.2935078625540235,49.9868,14.3994,POINT (14.3994 49.9868),94,True
1.6257997981698742,49.9868,14.4044,POINT (14.4044 49.9868),94,True
1.9203468423696683,49.9868,14.4094,POINT (14.4094 49.9868),111,True
2.078407406431696,49.9868,14.4144,POINT (14.4144 49.9868),342,True
2.09853060884755,49.9868,14.4194,POINT (14.4194 49.9868),342,True
2.259188811372374,49.9868,14.4244,POINT (14.4244 49.9868),342,True
2.393693220268626,49.9868,14.4294,POINT (14.4294 49.9868),74,True
2.250750266271215,49.9868,14.4344,POINT (14.4344 49.9868),74,True
2.240097383927763,49.9868,14.4394,POINT (14.4394 49.9868),74,True
2.2404302508472935,49.9868,14.4444,POINT (14.4444 49.9868),510,True
1.7200272157036662,49.9868,14.4494,POINT (14.4494 49.9868),510,True
1.2302477541583006,49.9868,14.4544,POINT (14.4544 49.9868),510,True
0.8273907483537314,49.9868,14.4594,POINT (14.4594 49.9868),510,True
0.6790814159761651,49.9868,14.4644,POINT (14.4644 49.9868),643,True
0.25183808316868195,49.9868,14.4694,POINT (14.4694 49.9868),643,True
0.5307949422742873,49.9868,14.4744,POINT (14.4744 49.9868),643,True
1.056463024130051,49.9868,14.4794,POINT (14.4794 49.9868),643,True
1.6020408771202608,49.9868,14.4844,POINT (14.4844 49.9868),643,True
4.297676059854861,49.9918,14.3194,POINT (14.3194 49.9918),589,True
3.7583210804399076,49.9918,14.3244,POINT (14.3244 49.9918),589,True
2.18772732038751,49.9918,14.3394,POINT (14.3394 49.9918),589,True
1.704496599175149,49.9918,14.3444,POINT (14.3444 49.9918),589,True
1.2808264850595164,49.9918,14.3494,POINT (14.3494 49.9918),589,True
0.9782129161748581,49.9918,14.3544,POINT (14.3544 49.9918),132,True
0.8144036720053189,49.9918,14.3594,POINT (14.3594 49.9918),637,True
0.7854357479900685,49.9918,14.3644,POINT (14.3644 49.9918),41,True
0.9054824157711604,49.9918,14.3694,POINT (14.3694 49.9918),41,True
