,distance,latitude,longitude,geometry,id_cukrarna,Praha,name,zip,street,number
58,3.334360181988417,49.9718,14.3294,POINT (14.3294 49.9718),589,True,Praha 16,,,
59,1.5370390808791885,49.9718,14.3494,POINT (14.3494 49.9718),589,True,Lipence,,,
60,1.3091015867303195,49.9718,14.3544,POINT (14.3544 49.9718),589,True,Lipence,155 31,Kazín,ev. č. 747
61,1.206837171741211,49.9718,14.3594,POINT (14.3594 49.9718),278,True,Lipence,,,
62,1.2041398128441865,49.9718,14.3644,POINT (14.3644 49.9718),278,True,Lipence,,,
63,1.4350956130713453,49.9718,14.3694,POINT (14.3694 49.9718),278,True,Lipence,,,
64,1.347519168685566,49.9718,14.3744,POINT (14.3744 49.9718),271,True,Zbraslav,156 00,K Radotínu,1190
65,0.8349275340141278,49.9718,14.3794,POINT (14.3794 49.9718),271,True,Zbraslav,156 00,Beldova,343
66,0.4409649239282507,49.9718,14.3844,POINT (14.3844 49.9718),271,True,Zbraslav,156 00,Pod urnovým hájem,811
67,0.554838842561593,49.9718,14.3894,POINT (14.3894 49.9718),271,True,Zbraslav,156 00,K Havlínu,1209
68,0.4139930753986034,49.9718,14.3944,POINT (14.3944 49.9718),89,True,Zbraslav,156 00,Žitavského,513
69,0.7894489751583882,49.9718,14.3994,POINT (14.3994 49.9718),94,True,Zbraslav,156 00,Závist,1161
70,1.2622567399775506,49.9718,14.4044,POINT (14.4044 49.9718),94,True,Praha 12,,,
71,1.783088464114554,49.9718,14.4094,POINT (14.4094 49.9718),94,True,Praha 12,,,
72,2.3198204379000305,49.9718,14.4144,POINT (14.4144 49.9718),94,True,Praha 12,,,
73,2.863525669055205,49.9718,14.4194,POINT (14.4194 49.9718),94,True,Praha 12,,,
74,3.410871098499402,49.9718,14.4244,POINT (14.4244 49.9718),94,True,Praha 12,143 00,Hospodářská,164
75,3.9603477175391584,49.9718,14.4294,POINT (14.4294 49.9718),94,True,Praha 12,143 00,Polovnická,276/10
76,3.905979475268615,49.9718,14.4344,POINT (14.4344 49.9718),74,True,Praha 12,143 00,Branišovská,233/43
77,3.569032574369801,49.9718,14.4394,POINT (14.4394 49.9718),510,True,Praha 12,,,
