distance,latitude,longitude,geometry,id_cukrarna,distance_mhd,name_mhd
2.4006065063984425,49.9468,14.3894,POINT (14.3894 49.9468),271,0.5674146831279889,"Jíloviště,Výzkumný ústav"
2.54801053287509,49.9468,14.3944,POINT (14.3944 49.9468),271,0.12884915189506704,Strnady
4.0108473083641,49.9518,14.3394,POINT (14.3394 49.9518),589,0.17924822343768007,Kazín
3.7690919276718735,49.9518,14.3444,POINT (14.3444 49.9518),589,0.40553355669486535,Kazín
3.597396529084826,49.9518,14.3494,POINT (14.3494 49.9518),589,0.9366256098755206,Ke Kazínu
3.4951356899665784,49.9518,14.3544,POINT (14.3544 49.9518),278,0.8893367007243345,Lipence
3.4049111913614096,49.9518,14.3594,POINT (14.3594 49.9518),278,1.0022082463793078,Na Lhotkách
3.0055478904344115,49.9518,14.3644,POINT (14.3644 49.9518),271,0.46507664219007244,Na Lhotkách
2.58505593726218,49.9518,14.3694,POINT (14.3694 49.9518),271,0.21028836656054237,Na Lhotkách
2.224356148609043,49.9518,14.3744,POINT (14.3744 49.9518),271,0.4408754515511424,K Chatám
1.9567974736632119,49.9518,14.3794,POINT (14.3794 49.9518),271,0.10170762826329202,Baně
1.8238427646085242,49.9518,14.3844,POINT (14.3844 49.9518),271,0.5615131143019972,Pod Zatáčkou
1.854669379456863,49.9518,14.3894,POINT (14.3894 49.9518),271,0.890960596179025,Strnady
2.041872812928065,49.9518,14.3944,POINT (14.3944 49.9518),271,0.6100916029781825,Dolní Břežany-Jarov
4.257694483135162,49.9568,14.3294,POINT (14.3294 49.9568),589,0.33107238650467874,Dolnočernošická
3.8749219527558436,49.9568,14.3344,POINT (14.3344 49.9568),589,0.6924932852425094,Dolnočernošická
3.538096658965057,49.9568,14.3394,POINT (14.3394 49.9568),589,0.3285675182890736,Ke Kazínu
3.2614852132746877,49.9568,14.3444,POINT (14.3444 49.9568),589,0.2332321313082235,Ke Kazínu
3.061452861737332,49.9568,14.3494,POINT (14.3494 49.9568),589,0.504761105132622,Lipence
2.9535997448655094,49.9568,14.3544,POINT (14.3544 49.9568),589,0.3587348035173863,Lipence
2.8522103981940576,49.9568,14.3594,POINT (14.3594 49.9568),278,0.5566599934677219,Škola Lipence
2.7067055677010754,49.9568,14.3644,POINT (14.3644 49.9568),271,0.4133568111672697,U Žlábku
2.230571923813197,49.9568,14.3694,POINT (14.3694 49.9568),271,0.24213367423734525,Ke Štěrkovně
1.8001936519119588,49.9568,14.3744,POINT (14.3744 49.9568),271,0.31923719895978386,Ke Štěrkovně
1.4567063058365568,49.9568,14.3794,POINT (14.3794 49.9568),271,0.258399083847592,Pod Zatáčkou
1.2725326473392045,49.9568,14.3844,POINT (14.3844 49.9568),271,0.3063455867532881,Zbraslav
1.3163340820719351,49.9568,14.3894,POINT (14.3894 49.9568),271,0.6275368977772567,Kamenolom Zbraslav
1.5691339945027092,49.9568,14.3944,POINT (14.3944 49.9568),271,0.31943900524495805,Kamenolom Zbraslav
3.8955415732465406,49.9618,14.3294,POINT (14.3294 49.9618),589,0.23536466409861564,Dolnočernošická
3.4730824892480885,49.9618,14.3344,POINT (14.3344 49.9618),589,0.2599996443796349,Dolní Černošice
3.092799671067015,49.9618,14.3394,POINT (14.3394 49.9618),589,0.6809015502068066,Ke Kazínu
2.772105271013706,49.9618,14.3444,POINT (14.3444 49.9618),589,0.6403651568237986,Ke Kazínu
2.533727582399544,49.9618,14.3494,POINT (14.3494 49.9618),589,0.45673259710072955,Lipence
2.402297502401012,49.9618,14.3544,POINT (14.3544 49.9618),589,0.23757040920072595,Škola Lipence
2.30061689337418,49.9618,14.3594,POINT (14.3594 49.9618),278,0.14373307493385942,U Kapličky
2.2992030836485,49.9618,14.3644,POINT (14.3644 49.9618),278,0.3564066993453703,U Žlábku
1.9708977689963298,49.9618,14.3694,POINT (14.3694 49.9618),271,0.37493844206522403,U Žlábku
1.4661801024823375,49.9618,14.3744,POINT (14.3744 49.9618),271,0.6029807519311132,Ke Štěrkovně
1.0153719367773524,49.9618,14.3794,POINT (14.3794 49.9618),271,0.48531103173419676,Zbraslav
0.7268605416963608,49.9618,14.3844,POINT (14.3844 49.9618),271,0.3538599786963122,Zbraslav
0.8010757293509567,49.9618,14.3894,POINT (14.3894 49.9618),271,0.5895960058137901,Kamenolom Zbraslav
1.170969000971004,49.9618,14.3944,POINT (14.3944 49.9618),271,0.23635179303648188,Kamenolom Zbraslav
3.118594846127056,49.9668,14.3344,POINT (14.3344 49.9668),589,0.481112372609087,Dolní Černošice
2.312552587672442,49.9668,14.3444,POINT (14.3444 49.9668),589,1.0941918084772881,Dehtínská
2.020670012392121,49.9668,14.3494,POINT (14.3494 49.9668),589,0.8823126187775939,Lipence
1.853204016618428,49.9668,14.3544,POINT (14.3544 49.9668),589,0.708678912010302,Škola Lipence
1.7511773252835305,49.9668,14.3594,POINT (14.3594 49.9668),278,0.5460562249714297,U Kapličky
1.7493195118008849,49.9668,14.3644,POINT (14.3644 49.9668),278,0.5309820045382846,Pod Kyjovem
1.8464763535892779,49.9668,14.3694,POINT (14.3694 49.9668),271,0.1264151222892155,Pod Kyjovem
1.2941101195202682,49.9668,14.3744,POINT (14.3744 49.9668),271,0.2884438960510812,Peluněk
0.7456655272470606,49.9668,14.3794,POINT (14.3794 49.9668),271,0.2916807344561633,Kostrounek
0.2310046657640759,49.9668,14.3844,POINT (14.3844 49.9668),271,0.12328066773454169,Sídliště Zbraslav
0.4083616444829418,49.9668,14.3894,POINT (14.3894 49.9668),271,0.2595846771293019,U Včely
